"Berth_Type","Berth_Name","Port_Country","Vessel_Class","Estimated_Quantity","Vessel_Imo","Arrival_Time","Departure_Time","Vessel_Destination_On_Departure","Vessel_Name","Maps_Der","Vessel_Capacity","Eta_For_Next_Destination_Change","Berth_Name_clean","Vessel_Destination_clean","n_viajes","vol_total","pct_vol","pct_acum"
"Exports","CPC Ceyhan","Turkey","Tanker-Aframax",121177,9458016,46231,46232,"Savona","DELTA STAR","IMO 9458016",123650,NA,"Ceyhan","Savona",9,1144802,0.00926880622154091,0.462039062395822
"Imports","Huizhou 1","China","Tanker-VLCC",334690,9583732,46230,46232,"Singapore","ALMI HERCULES","IMO 9583732",341520,NA,"Huizhou","Singapore",12,1710901,0.0138521856471604,0.329715846895166
"Imports","Qingdao 5","China","Tanker-VLCC",322047,9783722,46229,46232,"Singapore","SEATRIUMPH","IMO 9783722",328619,NA,"Qingdao","Singapore",6,1321542,0.0106997687911338,0.403186698748706
"Imports","Europoort 2","Netherlands","Tanker-VLCC",332794,9339973,46229,46232,"Corpus Christi","UNION PEACE","IMO 9339973",339586,NA,"Europoort","Corpus Christi",25,3721971,0.0301346677951251,0.0301346677951251
"Imports","Chiba 12","Japan","Tanker-VLCC",330398,9885087,46230,46232,"Ichihara","HIKOSAN","IMO 9885087",337141,46229,"Chiba","Ichihara",7,2276789,0.0184338567266094,0.137293604153538
"Exports","Westridge_Alberta","Canada","Tanker-LR2",122189,9815604,46230,46232,"Yosu","IBERIAN SEA","IMO 9815604",124683,NA,"Westridge Alberta","Yosu",14,1601455,0.0129660640595647,0.355665843829454
"Imports","Tianjin oil","China","Tanker-LR1",76459,9295062,46230,46232,"DONG JIA KOU","GUANG XING ZHOU","IMO 9295062",78019,46237,"Tianjin Oil","Dong Jia Kou",5,1138241,0.00921568556170669,0.471254747957528
"Imports","Kagoshima 5","Japan","Tanker-VLCC",329476,9829643,46231,46232,"Tokyo","BAYRAQ","IMO 9829643",336200,46234,"Kagoshima","Tokyo",5,1464429,0.0118566430056944,0.392486929957572
"Imports","Punto Franco 1","Italy","Tanker-Aframax",111041,9329409,46230,46232,"FOR ORDER","KRITI SAMARIA","IMO 9329409",113307,46237,"Punto Franco","For Order",18,2401607,0.0194444365954079,0.118859747426929
"Imports/Exports","Corpus Christi 14","United States of America","Tanker-Suezmax",164203,9419890,46229,46232,"Galveston Offshore Lightering Area (GOLA)","ADVANTAGE SUMMER","IMO 9419890",167554,46234,"Corpus Christi","Galveston Offshore Lightering Area",15,2220931,0.0179816064877709,0.19205616277906
"Imports","Yeosu 3","South Korea","Tanker-VLCC",318108,9522178,46230,46232,"Yosu","DS VISION","IMO 9522178",324600,46261,"Yeosu","Yosu",7,2054393,0.0166332436699884,0.225916085857981
"Imports","Taesan 2","South Korea","Tanker-LR2",112290,9656890,46232,46232,"Daesan-Seosan","P. LONG BEACH","IMO 9656890",114582,NA,"Taesan","Daesan-Seosan",5,1197037,0.00969172310409543,0.433881615027073
"Exports","Muscat 2","Oman","Tanker-VLCC",330367,9452672,46230,46232,"Mina al Fahal","MESDAR","IMO 9452672",337109,NA,"Muscat","Mina Al Fahal",8,2453421,0.0198639448820487,0.0994153108315211
"Exports","Westridge_Alberta","Canada","Tanker-LR2",115578,9417165,46230,46232,"Zhoushan","REN MA ZUO","IMO 9417165",117937,NA,"Westridge Alberta","Zhoushan",14,1601455,0.0129660640595647,0.355665843829454
"Imports","Jamnagar Terminal 2","India","Tanker-VLCC",332033,9567659,46231,46232,"Sikka","OMEGA TRADER","IMO 9567659",338809,46233,"Jamnagar Terminal","Sikka",17,3243791,0.0262631181655678,0.056397785960693
"Imports","Ningbo 11","China","Tanker-LR1",80412,9277797,46229,46232,"Singapore","INTERSTELLAR","IMO 9277797",82053,46247,"Ningbo","Singapore",7,1532763,0.0124099042721341,0.380630286951878
"Imports","Gwangyang 2","South Korea","Tanker-VLCC",318667,9849863,46230,46232,"Yosu","V. PROSPERITY","IMO 9849863",325170,NA,"Gwangyang","Yosu",7,2041843,0.0165316335067634,0.242447719364744
"Imports","Punto Franco 1","Italy","Tanker-Aframax",121324,9482627,46231,46232,"Trieste","SEA JAGUAR","IMO 9482627",123800,46238,"Punto Franco","Trieste",18,2401607,0.0194444365954079,0.118859747426929
"Exports","Fujairah 5","United Arab Emirates","Tanker-Suezmax",161141,9923994,46231,46232,"Cochin","DINO","IMO 9923994",164430,NA,"Fujairah","Cochin",12,2859728,0.0231535799887795,0.0795513659494724
"Exports","George Town","Guyana","Tanker-VLCC",325546,9698771,46217,46232,"Rotterdam","COSFLYING LAKE","IMO 9698771",332190,NA,"George Town","Rotterdam",12,2127689,0.017226679408932,0.209282842187992
"Imports","Europoort 15","Netherlands","Tanker-Aframax",111492,9792046,46229,46232,"Mongstad","LANCING","IMO 9792046",113767,46234,"Europoort","Mongstad",25,3721971,0.0301346677951251,0.0301346677951251
"Imports","Europoort 8","Netherlands","Tanker-Aframax",117208,9823041,46231,46232,"Mongstad","ALFA FINLANDIA","IMO 9823041",119600,NA,"Europoort","Mongstad",25,3721971,0.0301346677951251,0.0301346677951251
"Exports","Acu Superport","Brazil","Tanker-Suezmax",165180,9575565,46230,46232,"Rotterdam","SONANGOL HUILA","IMO 9575565",168551,NA,"Acu","Rotterdam",6,1294661,0.0104821287275759,0.424189891922977
"Imports","Punto Franco 2","Italy","Tanker-Aframax",122567,9779795,46231,46232,"ITTRS_GIGIB","IONIC ANASSA","IMO 9779795",125068,46238,"Punto Franco","Ittrs Gigib",18,2401607,0.0194444365954079,0.118859747426929
"Imports","Punto Franco 1","Italy","Tanker-Suezmax",166300,9567702,46232,46232,"Constanta","EURO","IMO 9567702",169694,NA,"Punto Franco","Constanta",18,2401607,0.0194444365954079,0.118859747426929
"Imports","Mumbai 2","India","Tanker-LR1",78694,9414802,46231,46232,"Chennai","SWARNA GANGA","IMO 9414802",80300,NA,"Mumbai","Chennai",12,1717300,0.0139039946857642,0.315863661248006
"Exports","Gebig","Brazil","Tanker-Suezmax",161525,9832250,46230,46232,"Angra dos Reis","FRONT SIENA","IMO 9832250",164821,46253,"Gebig","Angra Dos Reis",10,2274339,0.0184140204796053,0.155707624633144
"Exports","Fujairah 6","United Arab Emirates","Tanker-VLCC",328255,9560766,46230,46232,"Nghi Son","KALAMOS","IMO 9560766",334954,NA,"Fujairah","Nghi Son",12,2859728,0.0231535799887795,0.0795513659494724
"Imports","Punto Franco 1","Italy","Tanker-Suezmax",163009,9645425,46230,46231,"Trieste","AEGEAN DREAM","IMO 9645425",166336,46234,"Punto Franco","Trieste",18,2401607,0.0194444365954079,0.118859747426929
"Imports","Jamnagar Terminal 2","India","Tanker-Aframax",112125,9313486,46230,46231,"Suez","NYXORA","IMO 9313486",114413,NA,"Jamnagar Terminal","Suez",17,3243791,0.0262631181655678,0.056397785960693
"Exports","Corpus Christi 7","United States of America","Tanker-Panamax",76373,9301732,46229,46231,"Colon","ENERGY","IMO 9301732",77932,NA,"Corpus Christi","Colon",15,2220931,0.0179816064877709,0.19205616277906
"Imports","Richmond 1","United States of America","Tanker-Suezmax",164049,9530890,46231,46231,"USRCH RLW 1","MARIA","IMO 9530890",167397,46240,"Richmond","Usrch Rlw",7,1014867,0.00821679693399955,0.496704288524544
"Imports","Tianjin oil","China","Tanker-VLCC",325546,9681211,46230,46231,"Singapore","YUAN YUE HU","IMO 9681211",332190,NA,"Tianjin Oil","Singapore",5,1138241,0.00921568556170669,0.471254747957528
"Exports","Es Sider","Libya","Tanker-LR2",124960,9379612,46230,46231,"Augusta","SAND","IMO 9379612",127510,NA,"Es Sider","Augusta",8,1017362,0.00823699752023433,0.488487491590544
"Imports","Ningbo 6","China","Tanker-VLCC",325424,9735737,46229,46231,"Daxian","COSRISING LAKE","IMO 9735737",332065,46231,"Ningbo","Daxian",7,1532763,0.0124099042721341,0.380630286951878
"Imports","Huizhou 2","China","Tanker-Panamax",67648,9790787,46230,46231,"LIUHUA TMNL","BEI HAI KAI TUO","IMO 9790787",69029,46236,"Huizhou","Liuhua Tmnl",12,1710901,0.0138521856471604,0.329715846895166
"Imports","Chiba 12","Japan","Tanker-VLCC",322028,9722895,46228,46231,"Singapore","DHT LION","IMO 9722895",328600,NA,"Chiba","Singapore",7,2276789,0.0184338567266094,0.137293604153538
"Exports","CPC Ceyhan","Turkey","Tanker-Aframax",124552,9773052,46230,46231,"Augusta","TENACITY VENTURE","IMO 9773052",127094,NA,"Ceyhan","Augusta",9,1144802,0.00926880622154091,0.462039062395822
"Imports","Europoort 7","Netherlands","Tanker-Suezmax",163471,9785237,46229,46231,"Rotterdam","MINERVA EVROPI","IMO 9785237",166807,46248,"Europoort","Rotterdam",25,3721971,0.0301346677951251,0.0301346677951251
"Exports","Westridge_Alberta","Canada","Tanker-LR2",118482,9946465,46229,46231,"Vancouver (CA)","HAFNIA LARVIK","IMO 9946465",120900,46250,"Westridge Alberta","Vancouver",14,1601455,0.0129660640595647,0.355665843829454
"Exports","Corpus Christi 5","United States of America","Tanker-LR2",122111,9973640,46230,46231,"Rotterdam","METRO AEGEAN","IMO 9973640",124603,NA,"Corpus Christi","Rotterdam",15,2220931,0.0179816064877709,0.19205616277906
"Imports","Huizhou 4","China","Tanker-LR2",115563,9283253,46230,46231,"Hui Zhou","LIU LIN WAN","IMO 9283253",117921,46231,"Huizhou","Hui Zhou",12,1710901,0.0138521856471604,0.329715846895166
"Imports","Paradip VLCC","India","Tanker-Suezmax",163974,9408190,46230,46231,"Suez","SAMOS","IMO 9408190",167320,NA,"Paradip Vlcc","Suez",6,1173418,0.00950049358654867,0.443382108613621
"Imports","Taesan 2","South Korea","Tanker-VLCC",331877,9926738,46229,46231,"KRTSN  NR A-11","VL BREEZE","IMO 9926738",338650,46240,"Taesan","Krtsn Nr A-11",5,1197037,0.00969172310409543,0.433881615027073
"Imports","Mumbai 4","India","Tanker-Suezmax",159015,9941867,46230,46231,"Jawahar Dweep_deleted","BREST","IMO 9941867",162260,NA,"Mumbai","Jawahar Dweep Deleted",12,1717300,0.0139039946857642,0.315863661248006
"Exports","Muscat 1","Oman","Tanker-VLCC",326475,9422158,46228,46231,"Ulsan","C. MIGHTY","IMO 9422158",333138,NA,"Muscat","Ulsan",8,2453421,0.0198639448820487,0.0994153108315211
"Imports","Dongjiakou","China","Tanker-Aframax",115577,9487184,46230,46231,"DJK","YU FU ZUO","IMO 9487184",117936,46233,"Dongjiakou","Djk",6,1550627,0.0125545388502897,0.368220382679744
"Imports","Europoort 15","Netherlands","Tanker-LR2",122098,9982691,46230,46231,"Arzew","SFL TIGRIS","IMO 9982691",124590,46236,"Europoort","Arzew",25,3721971,0.0301346677951251,0.0301346677951251
"Exports","Corpus Christi 5","United States of America","Tanker-LR2",122381,9997971,46228,46230,"Wilhelmshaven","SEADANCER","IMO 9997971",124879,NA,"Corpus Christi","Wilhelmshaven",15,2220931,0.0179816064877709,0.19205616277906
"Imports","Yeosu 3","South Korea","Tanker-LR2",123157,9845996,46229,46230,"Vancouver (Canada)","YUAN HE WAN","IMO 9845996",125670,NA,"Yeosu","Vancouver",7,2054393,0.0166332436699884,0.225916085857981
"Exports","George Town","Guyana","Tanker-Suezmax",170262,9302592,46225,46230,"GUYANA","ARCHANGEL","IMO 9302592",173737,46244,"George Town","Guyana",12,2127689,0.017226679408932,0.209282842187992
"Imports","Kawasaki S","Japan","Tanker-Aframax",121177,9592238,46230,46230,"Tokyo","AQUALEADER","IMO 9592238",123650,46231,"Kawasaki","Tokyo",6,1778704,0.0144011477106781,0.287747619008718
"Imports","Europoort 11","Netherlands","Tanker-LR2",122098,9982691,46227,46230,"Rotterdam","SFL TIGRIS","IMO 9982691",124590,NA,"Europoort","Rotterdam",25,3721971,0.0301346677951251,0.0301346677951251
"Exports","Gebig","Brazil","Tanker-Suezmax",164091,9449405,46228,46230,"Angra dos Reis","MARE PICENUM","IMO 9449405",167440,46242,"Gebig","Angra Dos Reis",10,2274339,0.0184140204796053,0.155707624633144
"Imports","Universal 2","Singapore","Tanker-VLCC",325356,9727223,46227,46230,"Singapore","BANGLADESH PROSPERITY","IMO 9727223",331996,46243,"Universal","Singapore",8,1159542,0.00938814756065938,0.452770256174281
"Imports","Kawasaki 1","Japan","Tanker-VLCC",345034,9787792,46229,46230,"Singapore","BRIGHT CREST","IMO 9787792",352076,NA,"Kawasaki","Singapore",6,1778704,0.0144011477106781,0.287747619008718
"Imports","Jamnagar Terminal 2","India","Tanker-VLCC",332069,9602916,46229,46230,"Fujairah","SEAKING","IMO 9602916",338846,46235,"Jamnagar Terminal","Fujairah",17,3243791,0.0262631181655678,0.056397785960693
"Imports","Ulsan","South Korea","Tanker-VLCC",319186,9762998,46229,46230,"Dalian","ADVANTAGE VERITY","IMO 9762998",325700,46233,"Ulsan","Dalian",7,2268523,0.0183669316581458,0.17407455629129
"Exports","Gebig","Brazil","Tanker-Suezmax",167576,9453858,46226,46230,"Sines","MARCILIO DIAS","IMO 9453858",170996,NA,"Gebig","Sines",10,2274339,0.0184140204796053,0.155707624633144
"Imports","Jamnagar Terminal 2","India","Tanker-LR2",123679,9408554,46229,46230,"Sikka","XING YUAN","IMO 9408554",126203,46240,"Jamnagar Terminal","Sikka",17,3243791,0.0262631181655678,0.056397785960693
"Imports","Paradip VLCC","India","Tanker-Suezmax",172596,9316127,46230,46230,"INPPT","DISCOVERY","IMO 9316127",176118,46245,"Paradip Vlcc","Inppt",6,1173418,0.00950049358654867,0.443382108613621
"Exports","CPC Ceyhan","Turkey","Tanker-Aframax",117234,9773765,46229,46230,"ROMID","SEACHARM","IMO 9773765",119627,46236,"Ceyhan","Romid",9,1144802,0.00926880622154091,0.462039062395822
"Imports","Zhoushan 1","China","Tanker-VLCC",325546,9681209,46228,46230,"CNDAG","YUAN CHUN HU","IMO 9681209",332190,46232,"Zhoushan","Cndag",7,1842371,0.0149166229506819,0.27334647129804
"Imports","Mumbai 2","India","Tanker-LR1",78694,9414826,46229,46230,"NMGL","SWARNA GODAVARI","IMO 9414826",80300,46234,"Mumbai","Nmgl",12,1717300,0.0139039946857642,0.315863661248006
"Imports","Europoort 15","Netherlands","Tanker-Aframax",117233,9843211,46228,46230,"Gothenburg","SEAVELVET","IMO 9843211",119626,NA,"Europoort","Gothenburg",25,3721971,0.0301346677951251,0.0301346677951251
"Exports","Westridge_Alberta","Canada","Tanker-LR2",120780,9893096,46228,46229,"Vancouver (CA)","PACIFIC OPAL","IMO 9893096",123245,46248,"Westridge Alberta","Vancouver",14,1601455,0.0129660640595647,0.355665843829454
"Imports","Europoort 8","Netherlands","Tanker-Suezmax",169357,9996410,46227,46229,"Georgetown (GY)","IPANEMA","IMO 9996410",172813,NA,"Europoort","Georgetown",25,3721971,0.0301346677951251,0.0301346677951251
"Imports","Zhoushan 7","China","Tanker-VLCC",333772,9384198,46226,46229,"Singapore","MANIFA","IMO 9384198",340584,NA,"Zhoushan","Singapore",7,1842371,0.0149166229506819,0.27334647129804
"Imports","Ningbo 3","China","Tanker-VLCC",334169,9378541,46227,46229,"CNNBO","JAHAM","IMO 9378541",340989,46237,"Ningbo","Cnnbo",7,1532763,0.0124099042721341,0.380630286951878
"Imports","Jamnagar Terminal 2","India","Tanker-Aframax",96393,9380673,46228,46229,"Sikka","CENTURION","IMO 9380673",98360,46239,"Jamnagar Terminal","Sikka",17,3243791,0.0262631181655678,0.056397785960693
"Imports","Gwangyang 2","South Korea","Tanker-VLCC",318108,9522178,46228,46229,"Yosu","DS VISION","IMO 9522178",324600,NA,"Gwangyang","Yosu",7,2041843,0.0165316335067634,0.242447719364744
"Imports","Oiltanking Helios 4","Singapore","Tanker-VLCC",323585,9343390,46228,46229,"Singapore","TENJUN","IMO 9343390",330189,NA,"Oiltanking Helios","Singapore",7,1973973,0.0159821289826134,0.258429848347358
"Imports","Punto Franco 1","Italy","Tanker-Aframax",96726,9460576,46228,46229,"Ceyhan","SAFEEN BARONESS","IMO 9460576",98700,NA,"Punto Franco","Ceyhan",18,2401607,0.0194444365954079,0.118859747426929
"Imports","Taesan 2","South Korea","Tanker-VLCC",321763,9771341,46225,46229,"Singapore","FRONT DUCHESS","IMO 9771341",328330,NA,"Taesan","Singapore",5,1197037,0.00969172310409543,0.433881615027073
"Exports","Fujairah 15","United Arab Emirates","Tanker-LR2",112602,9460136,46228,46229,"AE FUJ - PK KHI","P. ALIKI","IMO 9460136",114900,NA,"Fujairah","Ae Fuj - Pk Khi",12,2859728,0.0231535799887795,0.0795513659494724
"Imports","Maasvlakte","Netherlands","Tanker-VLCC",332794,9339973,46227,46229,"Rotterdam","UNION PEACE","IMO 9339973",339586,NA,"Maasvlakte","Rotterdam",7,1755348,0.014212047553524,0.301959666562242
"Imports","Yeosu 3","South Korea","Tanker-VLCC",322343,9794824,46227,46229,"Yosu","UNIVERSAL GLORY","IMO 9794824",328921,46250,"Yeosu","Yosu",7,2054393,0.0166332436699884,0.225916085857981
"Imports","Kagoshima 5","Japan","Tanker-VLCC",328986,9814131,46227,46229,"Kashima","ENEOS EARTH","IMO 9814131",335700,NA,"Kagoshima","Kashima",5,1464429,0.0118566430056944,0.392486929957572
"Exports","Muscat 2","Oman","Tanker-Suezmax",163917,9330874,46227,46229,"Cochin","ASTRA MARIS","IMO 9330874",167262,NA,"Muscat","Cochin",8,2453421,0.0198639448820487,0.0994153108315211
"Imports","Jamnagar Terminal 2","India","Tanker-VLCC",319249,9734109,46227,46229,"Port Louis","PHOENIX VANTAGE","IMO 9734109",325764,NA,"Jamnagar Terminal","Port Louis",17,3243791,0.0262631181655678,0.056397785960693
"Imports","Mumbai 4","India","Tanker-VLCC",317488,9230969,46228,46229,"Galle","LA BALENA","IMO 9230969",323967,NA,"Mumbai","Galle",12,1717300,0.0139039946857642,0.315863661248006
"Imports","Qingdao 4","China","Tanker-Aframax",115577,9487184,46227,46229,"DJK","YU FU ZUO","IMO 9487184",117936,NA,"Qingdao","Djk",6,1321542,0.0106997687911338,0.403186698748706
"Exports","Westridge_Alberta","Canada","Tanker-LR2",115578,9397755,46228,46229,"Ningbo","YANG NING HU","IMO 9397755",117937,NA,"Westridge Alberta","Ningbo",14,1601455,0.0129660640595647,0.355665843829454
"Exports","Mongstad 1","Norway","Tanker-Aframax",122282,9737395,46228,46229,"Rostock","STAVANGER TS","IMO 9737395",124778,NA,"Mongstad","Rostock",9,1111076,0.00899574611278176,0.48025049407031
"Exports","Es Sider","Libya","Tanker-LR2",131429,9923437,46228,46229,"ITPFX _ LYESI","PROTEUS BOHEMIA","IMO 9923437",134111,46233,"Es Sider","Itpfx Lyesi",8,1017362,0.00823699752023433,0.488487491590544
"Imports","Zhoushan 6","China","Tanker-Panamax",76373,9297448,46227,46229,"Shanghai","XIN TONG ZHOU","IMO 9297448",77932,46230,"Zhoushan","Shanghai",7,1842371,0.0149166229506819,0.27334647129804
"Imports","Universal 3","Singapore","Tanker-LR1",77237,9290957,46227,46229,"Tanjung Pelepas","CHRONOSTAR","IMO 9290957",78813,46229,"Universal","Tanjung Pelepas",8,1159542,0.00938814756065938,0.452770256174281
"Imports","Punto Franco 1","Italy","Tanker-LR2",121275,9795115,46228,46229,"Marsaxlokk","EAGLE LYON","IMO 9795115",123750,46252,"Punto Franco","Marsaxlokk",18,2401607,0.0194444365954079,0.118859747426929
"Exports","Acu Superport","Brazil","Tanker-Suezmax",159104,9682980,46227,46229,"NLRTM __ BRACX","ELISABETH MAERSK","IMO 9682980",162351,46258,"Acu","Nlrtm Bracx",6,1294661,0.0104821287275759,0.424189891922977
"Exports","George Town","Guyana","Tanker-Suezmax",165203,9785823,46226,46228,"Brofjorden","MONTE UDALA","IMO 9785823",168574,NA,"George Town","Brofjorden",12,2127689,0.017226679408932,0.209282842187992
"Imports","Qingdao 5","China","Tanker-VLCC",327810,9416654,46226,46228,"Zhoushan","XIN SHEN YANG","IMO 9416654",334500,NA,"Qingdao","Zhoushan",6,1321542,0.0106997687911338,0.403186698748706
"Imports","Europoort 7","Netherlands","Tanker-Suezmax",161207,9895226,46227,46228,"Rotterdam","NISSOS ANTIMILOS","IMO 9895226",164497,46227,"Europoort","Rotterdam",25,3721971,0.0301346677951251,0.0301346677951251
"Imports","Dongjiakou","China","Tanker-LR2",123687,9408530,46227,46228,"CNDJK","EVITA","IMO 9408530",126211,46233,"Dongjiakou","Cndjk",6,1550627,0.0125545388502897,0.368220382679744
"Imports","Mumbai 3","India","Tanker-LR1",78694,9414838,46222,46228,"NEW MANGLORE","SWARNA KRISHNA","IMO 9414838",80300,46239,"Mumbai","New Manglore",12,1717300,0.0139039946857642,0.315863661248006
"Exports","Mongstad 1","Norway","Tanker-Aframax",117208,9823041,46227,46228,"Rotterdam","ALFA FINLANDIA","IMO 9823041",119600,NA,"Mongstad","Rotterdam",9,1111076,0.00899574611278176,0.48025049407031
"Imports","Punto Franco 1","Italy","Tanker-Suezmax",162680,1020411,46227,46228,"Trieste","MINERVA KALLIRROI","IMO 1020411",166000,46231,"Punto Franco","Trieste",18,2401607,0.0194444365954079,0.118859747426929
"Exports","Fujairah 6","United Arab Emirates","Tanker-VLCC",318108,9434620,46226,46228,"TG BARUS","NEW RESOURCE","IMO 9434620",324600,46238,"Fujairah","Tg Barus",12,2859728,0.0231535799887795,0.0795513659494724
"Exports","Muscat 1","Oman","Tanker-VLCC",334874,9683673,46226,46228,"CNDLN","VL BRILLIANT","IMO 9683673",341708,NA,"Muscat","Cndln",8,2453421,0.0198639448820487,0.0994153108315211
"Imports","Punto Franco 1","Italy","Tanker-Aframax",121170,9356438,46226,46228,"As Sidr","ALYARMOUK","IMO 9356438",123643,NA,"Punto Franco","As Sidr",18,2401607,0.0194444365954079,0.118859747426929
"Exports","Mongstad 2","Norway","Tanker-Aframax",111446,9752797,46227,46228,"Rotterdam","ALFA ALANDIA","IMO 9752797",113720,NA,"Mongstad","Rotterdam",9,1111076,0.00899574611278176,0.48025049407031
"Imports","Mumbai 4","India","Tanker-Suezmax",159103,9682992,46225,46228,"Port Louis","EVA MAERSK","IMO 9682992",162350,NA,"Mumbai","Port Louis",12,1717300,0.0139039946857642,0.315863661248006
"Imports","Qingdao 3","China","Tanker-VLCC",324954,9202716,46225,46228,"FOR ORDER","S MILLENNIUM","IMO 9202716",331586,NA,"Qingdao","For Order",6,1321542,0.0106997687911338,0.403186698748706
"Imports","Jamnagar Terminal 2","India","Tanker-VLCC",315722,9929663,46225,46228,"Sikka","C. GENUINE","IMO 9929663",322165,46205,"Jamnagar Terminal","Sikka",17,3243791,0.0262631181655678,0.056397785960693
"Imports","Universal 1","Singapore","Tanker-LR1",79107,9308091,46227,46228,"SGSING_IDBAL","CONSTELLATION","IMO 9308091",80721,46231,"Universal","Sgsing Idbal",8,1159542,0.00938814756065938,0.452770256174281
"Imports","Jamnagar Terminal 2","India","Tanker-Suezmax",164016,9438406,46227,46228,"Sikka","MIGJORN","IMO 9438406",167363,46238,"Jamnagar Terminal","Sikka",17,3243791,0.0262631181655678,0.056397785960693
"Imports","Paradip VLCC","India","Tanker-Suezmax",164150,9905344,46227,46228,"Fujairah","OCEANIA","IMO 9905344",167500,46232,"Paradip Vlcc","Fujairah",6,1173418,0.00950049358654867,0.443382108613621
"Imports","Dalian 4","China","Tanker-LR1",76459,9295062,46226,46228,"Tianjin","GUANG XING ZHOU","IMO 9295062",78019,NA,"Dalian","Tianjin",10,1603662,0.0129839328747231,0.342699779769889
"Exports","George Town","Guyana","Tanker-Suezmax",165257,9590307,46225,46228,"Chiriqui Grande","RED MOON","IMO 9590307",168630,NA,"George Town","Chiriqui Grande",12,2127689,0.017226679408932,0.209282842187992
"Imports","Ulsan","South Korea","Tanker-VLCC",326475,9404924,46225,46227,"Yosu","C. GALAXY","IMO 9404924",333138,46244,"Ulsan","Yosu",7,2268523,0.0183669316581458,0.17407455629129
"Imports","Dongjiakou","China","Tanker-VLCC",327759,9259331,46226,46227,"FOR ORDER","EURODESTINY","IMO 9259331",334448,46176,"Dongjiakou","For Order",6,1550627,0.0125545388502897,0.368220382679744
"Imports","Gwangyang 2","South Korea","Tanker-VLCC",322343,9794824,46225,46227,"Yosu","UNIVERSAL GLORY","IMO 9794824",328921,NA,"Gwangyang","Yosu",7,2041843,0.0165316335067634,0.242447719364744
"Imports","Kawasaki 1","Japan","Tanker-VLCC",318673,9874911,46225,46227,"JPSAK","FRONT DYNAMIC","IMO 9874911",325177,NA,"Kawasaki","Jpsak",6,1778704,0.0144011477106781,0.287747619008718
"Imports","Huizhou 4","China","Tanker-Panamax",69673,9846029,46226,46227,"XIN LIUHUA","YUAN AN HU","IMO 9846029",71095,46228,"Huizhou","Xin Liuhua",12,1710901,0.0138521856471604,0.329715846895166
"Imports","Gwangyang 2","South Korea","Tanker-LR2",123157,9845996,46227,46227,"Anchorage","YUAN HE WAN","IMO 9845996",125670,NA,"Gwangyang","Anchorage",7,2041843,0.0165316335067634,0.242447719364744
"Exports","Westridge_Alberta","Canada","Tanker-LR2",120766,9838242,46225,46227,"Martinez Shell Oil Terminal","PIS KERINCI","IMO 9838242",123231,NA,"Westridge Alberta","Martinez Shell Oil Terminal",14,1601455,0.0129660640595647,0.355665843829454
"Imports","Yeosu 3","South Korea","Tanker-VLCC",321041,9759824,46226,46227,"Singapore","AGIOS FANOURIOS I","IMO 9759824",327593,46235,"Yeosu","Singapore",7,2054393,0.0166332436699884,0.225916085857981
"Imports","Oiltanking Helios 4","Singapore","Tanker-Suezmax",167157,9579547,46225,46227,"Singapore","ALMI EXPLORER","IMO 9579547",170568,46248,"Oiltanking Helios","Singapore",7,1973973,0.0159821289826134,0.258429848347358
"Exports","Es Sider","Libya","Tanker-LR2",112602,9469687,46226,46227,"As Sidr","YASA AQUALINA","IMO 9469687",114900,46228,"Es Sider","As Sidr",8,1017362,0.00823699752023433,0.488487491590544
"Imports","Universal 2","Singapore","Tanker-Aframax",115604,9290294,46225,46227,"Singapore","AL HABIBAH","IMO 9290294",117963,46226,"Universal","Singapore",8,1159542,0.00938814756065938,0.452770256174281
"Imports","Zhoushan 1","China","Tanker-VLCC",325546,9681211,46225,46227,"Tianjin","YUAN YUE HU","IMO 9681211",332190,NA,"Zhoushan","Tianjin",7,1842371,0.0149166229506819,0.27334647129804
"Imports","Dalian 11","China","Tanker-VLCC",329090,9534016,46225,46227,"Zhoushan","MARAN LYNX","IMO 9534016",335806,NA,"Dalian","Zhoushan",10,1603662,0.0129839328747231,0.342699779769889
"Imports","Punto Franco 1","Italy","Tanker-Suezmax",160381,9793753,46225,46227,"Trieste","FOLEGANDROS","IMO 9793753",163654,46221,"Punto Franco","Trieste",18,2401607,0.0194444365954079,0.118859747426929
"Exports","Westridge_Alberta","Canada","Tanker-LR2",127123,9893113,46225,46227,"Los Angeles - Long Beach_mini","PACIFIC CORAL","IMO 9893113",129717,46233,"Westridge Alberta","Los Angeles - Long Beach Mini",14,1601455,0.0129660640595647,0.355665843829454
"Exports","CPC Ceyhan","Turkey","Tanker-Suezmax",165197,9779379,46225,46227,"Botas (Ceyhan) Oil Terminal","MARAN HERMIONE","IMO 9779379",168568,46229,"Ceyhan","Botas Oil Terminal",9,1144802,0.00926880622154091,0.462039062395822
"Imports","Europoort 13","Netherlands","Tanker-LR2",118242,9798014,46226,46227,"Houston","TORM HILDE","IMO 9798014",120655,NA,"Europoort","Houston",25,3721971,0.0301346677951251,0.0301346677951251
"Exports","Corpus Christi 9","United States of America","Tanker-Aframax",119843,9886720,46225,46226,"Mongstad","SEA URCHIN","IMO 9886720",122289,NA,"Corpus Christi","Mongstad",15,2220931,0.0179816064877709,0.19205616277906
