"Berth_Type","Berth_Name","Port_Country","Vessel_Class","Estimated_Quantity","Vessel_Imo","Arrival_Time","Departure_Time","Vessel_Destination_On_Departure","Vessel_Name","Maps_Der","Vessel_Capacity","Eta_For_Next_Destination_Change","Berth_Name_clean","Vessel_Destination_clean","n_viajes","vol_total","pct_vol","pct_acum"
"Exports","Gebig","Brazil","Tanker-VLCC",318794,9852121,46236,46237,"Angra dos Reis","SEA JADE","IMO 9852121",325300,NA,"Gebig","Angra Dos Reis",10,2274339,0.0184140204796053,0.155707624633144
"Exports","Es Sider","Libya","Tanker-LR2",121206,9440538,46236,46237,"Agioi Theodoroi","KRITI JOURNEY","IMO 9440538",123680,NA,"Es Sider","Agioi Theodoroi",8,1017362,0.00823699752023433,0.488487491590544
"Exports","Fujairah 5","United Arab Emirates","Tanker-VLCC",327674,9346952,46235,46237,"Yosu","ASHOKA","IMO 9346952",334361,NA,"Fujairah","Yosu",12,2859728,0.0231535799887795,0.0795513659494724
"Imports","Huizhou 1","China","Tanker-VLCC",318109,9473389,46235,46237,"Hui Zhou","XIN AN YANG","IMO 9473389",324601,NA,"Huizhou","Hui Zhou",12,1710901,0.0138521856471604,0.329715846895166
"Imports","Ningbo 6","China","Tanker-VLCC",317755,9389760,46234,46237,"OPL","XIN RUN YANG","IMO 9389760",324240,46237,"Ningbo","Opl",7,1532763,0.0124099042721341,0.380630286951878
"Imports","Punto Franco 2","Italy","Tanker-Aframax",118643,9398266,46236,46237,"Trieste","KRITI LEGEND","IMO 9398266",121064,NA,"Punto Franco","Trieste",18,2401607,0.0194444365954079,0.118859747426929
"Exports","CPC Ceyhan","Turkey","Tanker-Suezmax",163562,9422366,46234,46236,"Suez","COMPASS","IMO 9422366",166900,NA,"Ceyhan","Suez",9,1144802,0.00926880622154091,0.462039062395822
"Imports","Punto Franco 1","Italy","Tanker-Aframax",118644,9422196,46235,46236,"Skikda","EAGLE KINABALU","IMO 9422196",121065,46209,"Punto Franco","Skikda",18,2401607,0.0194444365954079,0.118859747426929
"Exports","Acu Superport","Brazil","Tanker-VLCC",315723,9933602,46229,46236,"CNQIN","EAGLE VELLORE","IMO 9933602",322166,NA,"Acu","Cnqin",6,1294661,0.0104821287275759,0.424189891922977
"Imports","Punto Franco 1","Italy","Tanker-Suezmax",162923,9907653,46234,46236,"Trieste","SEAVOYAGER","IMO 9907653",166248,46239,"Punto Franco","Trieste",18,2401607,0.0194444365954079,0.118859747426929
"Exports","CPC Ceyhan","Turkey","Tanker-Aframax",96726,9460576,46235,46236,"Sarroch","SAFEEN BARONESS","IMO 9460576",98700,NA,"Ceyhan","Sarroch",9,1144802,0.00926880622154091,0.462039062395822
"Imports","Huizhou 4","China","Tanker-Panamax",69673,9846029,46235,46236,"Wenzhou","YUAN AN HU","IMO 9846029",71095,NA,"Huizhou","Wenzhou",12,1710901,0.0138521856471604,0.329715846895166
"Imports","Tianjin oil","China","Tanker-LR1",77956,9295074,46234,46236,"Dalian","YONG XING ZHOU","IMO 9295074",79547,46237,"Tianjin Oil","Dalian",5,1138241,0.00921568556170669,0.471254747957528
"Exports","George Town","Guyana","Tanker-Suezmax",164616,9402926,46234,46236,"GUIANA","MARAN POSEIDON","IMO 9402926",167976,46244,"George Town","Guiana",12,2127689,0.017226679408932,0.209282842187992
"Imports","Oiltanking Helios 4","Singapore","Tanker-Suezmax",165226,9814430,46235,46236,"Singapore","SATURN MOON","IMO 9814430",168598,46236,"Oiltanking Helios","Singapore",7,1973973,0.0159821289826134,0.258429848347358
"Imports","Kawasaki 1","Japan","Tanker-VLCC",329476,9829643,46235,46236,"Tokyo","BAYRAQ","IMO 9829643",336200,46248,"Kawasaki","Tokyo",6,1778704,0.0144011477106781,0.287747619008718
"Exports","Corpus Christi 7","United States of America","Tanker-Aframax",121657,9453987,46234,46236,"CCLZ","EAGLE HALIFAX","IMO 9453987",124140,NA,"Corpus Christi","Cclz",15,2220931,0.0179816064877709,0.19205616277906
"Imports","Europoort 8","Netherlands","Tanker-Aframax",124552,9773040,46234,46236,"Corpus Christi","VICTORY VENTURE","IMO 9773040",127094,46253,"Europoort","Corpus Christi",25,3721971,0.0301346677951251,0.0301346677951251
"Imports","Europoort 13","Netherlands","Tanker-Suezmax",163338,9530618,46235,46236,"Rotterdam","OTTOMAN INTEGRITY","IMO 9530618",166671,NA,"Europoort","Rotterdam",25,3721971,0.0301346677951251,0.0301346677951251
"Imports","Mumbai 3","India","Tanker-Aframax",113259,9337418,46234,46236,"Suez","ATMOS","IMO 9337418",115570,NA,"Mumbai","Suez",12,1717300,0.0139039946857642,0.315863661248006
"Imports","Gwangyang 2","South Korea","Tanker-VLCC",318674,9845221,46235,46236,"Yosu","V. ADVANCE","IMO 9845221",325178,NA,"Gwangyang","Yosu",7,2041843,0.0165316335067634,0.242447719364744
"Imports","Taesan 2","South Korea","Tanker-LR2",112290,9656890,46235,46236,"COVAN","P. LONG BEACH","IMO 9656890",114582,NA,"Taesan","Covan",5,1197037,0.00969172310409543,0.433881615027073
"Exports","Fujairah 15","United Arab Emirates","Tanker-Suezmax",165197,9761360,46235,46236,"Bataan","MARAN HERCULES","IMO 9761360",168568,NA,"Fujairah","Bataan",12,2859728,0.0231535799887795,0.0795513659494724
"Exports","Mongstad 2","Norway","Tanker-Aframax",117234,9773739,46234,46236,"WHAFFEN HEAD","UNITY VENTURE","IMO 9773739",119627,NA,"Mongstad","Whaffen Head",9,1111076,0.00899574611278176,0.48025049407031
"Exports","Gebig","Brazil","Tanker-VLCC",334369,1029869,46233,46236,"Angra dos Reis","ATREBATES","IMO 1029869",341193,46265,"Gebig","Angra Dos Reis",10,2274339,0.0184140204796053,0.155707624633144
"Exports","Westridge_Alberta","Canada","Tanker-Aframax",120569,9417323,46234,46236,"Vancouver (CA)","WHISTLER SPIRIT","IMO 9417323",123030,46233,"Westridge Alberta","Vancouver",14,1601455,0.0129660640595647,0.355665843829454
"Exports","Es Sider","Libya","Tanker-Suezmax",160720,9920693,46234,46235,"Sidi Kerir","SEA AMETHYST","IMO 9920693",164000,NA,"Es Sider","Sidi Kerir",8,1017362,0.00823699752023433,0.488487491590544
"Exports","George Town","Guyana","Tanker-Suezmax",164150,9418602,46231,46235,"Galveston","MOSCOW SPIRIT","IMO 9418602",167500,NA,"George Town","Galveston",12,2127689,0.017226679408932,0.209282842187992
"Imports","Ulsan","South Korea","Tanker-VLCC",331974,9831218,46233,46235,"Singapore","IRINI N. LEMOS","IMO 9831218",338749,NA,"Ulsan","Singapore",7,2268523,0.0183669316581458,0.17407455629129
"Imports","Jamnagar Terminal 2","India","Tanker-VLCC",327334,9397145,46234,46235,"Port Louis","ATLANTIC PIONEER","IMO 9397145",334014,NA,"Jamnagar Terminal","Port Louis",17,3243791,0.0262631181655678,0.056397785960693
"Imports","Europoort 2","Netherlands","Tanker-Suezmax",170483,9298765,46234,46235,"Skagen","NAUTILUS I","IMO 9298765",173962,NA,"Europoort","Skagen",25,3721971,0.0301346677951251,0.0301346677951251
"Exports","Basra Oil Terminal SPM 3","Iraq","Tanker-VLCC",318304,9414931,46232,46235,"BAS_IRAQ","TANZANIA PROSPERITY","IMO 9414931",324800,46231,"Basra","Bas Iraq",4,1299470,0.0105210644466954,0.413707763195401
"Imports","Qingdao 4","China","Tanker-Aframax",115577,9487184,46234,46235,"DJK","YU FU ZUO","IMO 9487184",117936,46234,"Qingdao","Djk",6,1321542,0.0106997687911338,0.403186698748706
"Exports","Westridge_Alberta","Canada","Tanker-LR1",78655,9390161,46233,46235,"Ferndale","JAG AANCHAL","IMO 9390161",80260,NA,"Westridge Alberta","Ferndale",14,1601455,0.0129660640595647,0.355665843829454
"Imports","Huizhou 4","China","Tanker-LR1",78800,9435583,46234,46235,"Hui Zhou","LING YANG ZUO","IMO 9435583",80408,NA,"Huizhou","Hui Zhou",12,1710901,0.0138521856471604,0.329715846895166
"Imports","Oiltanking Helios 4","Singapore","Tanker-VLCC",342407,1050624,46230,46235,"Singapore","MORINI","IMO 1050624",349395,NA,"Oiltanking Helios","Singapore",7,1973973,0.0159821289826134,0.258429848347358
"Exports","Es Sider","Libya","Tanker-LR2",124707,1024974,46234,46235,"Aliaga","KALYMNOS I","IMO 1024974",127252,NA,"Es Sider","Aliaga",8,1017362,0.00823699752023433,0.488487491590544
"Imports","Europoort 7","Netherlands","Tanker-Suezmax",164616,9402902,46234,46235,"Fawley","MARAN PYTHIA","IMO 9402902",167976,NA,"Europoort","Fawley",25,3721971,0.0301346677951251,0.0301346677951251
"Exports","Corpus Christi 6","United States of America","Tanker-VLCC",326475,9419474,46235,46235,"STS AREA","APOLYTARES","IMO 9419474",333138,NA,"Corpus Christi","Sts Area",15,2220931,0.0179816064877709,0.19205616277906
"Imports","Tianjin oil","China","Tanker-VLCC",332734,9562697,46234,46235,"Rizhao","GASSAN","IMO 9562697",339525,NA,"Tianjin Oil","Rizhao",5,1138241,0.00921568556170669,0.471254747957528
"Exports","Mongstad 1","Norway","Tanker-Aframax",117208,9823041,46234,46235,"Rotterdam","ALFA FINLANDIA","IMO 9823041",119600,NA,"Mongstad","Rotterdam",9,1111076,0.00899574611278176,0.48025049407031
"Imports","Jamnagar Terminal 2","India","Tanker-VLCC",333629,9610298,46233,46235,"Sikka","DESH VIBHOR","IMO 9610298",340438,NA,"Jamnagar Terminal","Sikka",17,3243791,0.0262631181655678,0.056397785960693
"Exports","CPC Ceyhan","Turkey","Tanker-LR2",121150,9903126,46234,46235,"Bizerte","AMADES","IMO 9903126",123622,NA,"Ceyhan","Bizerte",9,1144802,0.00926880622154091,0.462039062395822
"Imports","Kagoshima 5","Japan","Tanker-VLCC",336736,9662887,46234,46235,"Mizushima","ENEOS SPIRIT","IMO 9662887",343608,NA,"Kagoshima","Mizushima",5,1464429,0.0118566430056944,0.392486929957572
"Imports","Paradip VLCC","India","Tanker-Suezmax",170468,9227443,46234,46235,"Suez","ARLAN","IMO 9227443",173947,NA,"Paradip Vlcc","Suez",6,1173418,0.00950049358654867,0.443382108613621
"Exports","Acu Superport","Brazil","Tanker-Suezmax",164038,9843338,46232,46235,"Milazzo","YUAN DONG HAI","IMO 9843338",167386,NA,"Acu","Milazzo",6,1294661,0.0104821287275759,0.424189891922977
"Imports","Europoort 8","Netherlands","Tanker-Suezmax",165197,9761346,46232,46234,"Rotterdam","MARAN HERMES","IMO 9761346",168568,46234,"Europoort","Rotterdam",25,3721971,0.0301346677951251,0.0301346677951251
"Imports","Oiltanking Helios 3","Singapore","Tanker-VLCC",334699,9480837,46231,46234,"Singapore","EUROSPIRIT","IMO 9480837",341530,NA,"Oiltanking Helios","Singapore",7,1973973,0.0159821289826134,0.258429848347358
"Imports","Richmond 1","United States of America","Tanker-LR2",122919,9993896,46232,46234,"USRCH","NAVE PERSEUS","IMO 9993896",125428,NA,"Richmond","Usrch",7,1014867,0.00821679693399955,0.496704288524544
"Imports","Huizhou 1","China","Tanker-VLCC",318108,9389784,46232,46234,"Singapore","XIN HAN YANG","IMO 9389784",324600,NA,"Huizhou","Singapore",12,1710901,0.0138521856471604,0.329715846895166
"Imports","Yeosu 3","South Korea","Tanker-VLCC",318667,9849863,46232,46234,"Yosu","V. PROSPERITY","IMO 9849863",325170,46251,"Yeosu","Yosu",7,2054393,0.0166332436699884,0.225916085857981
"Imports","Zhoushan 7","China","Tanker-VLCC",327810,9416654,46232,46234,"Singapore","XIN SHEN YANG","IMO 9416654",334500,NA,"Zhoushan","Singapore",7,1842371,0.0149166229506819,0.27334647129804
"Imports","Richmond 1","United States of America","Tanker-Suezmax",161207,9878890,46232,46234,"Puerto Armuelles","APOLLO VOYAGER","IMO 9878890",164497,NA,"Richmond","Puerto Armuelles",7,1014867,0.00821679693399955,0.496704288524544
"Imports","Corpus Christi 16","United States of America","Tanker-LR2",131876,9305611,46234,46234,"GBPTL_USCRP","PROMITHEAS","IMO 9305611",134567,46252,"Corpus Christi","Gbptl Uscrp",15,2220931,0.0179816064877709,0.19205616277906
"Imports","Gwangyang 2","South Korea","Tanker-VLCC",319853,9931343,46233,46234,"Yosu","G.HOPE","IMO 9931343",326381,NA,"Gwangyang","Yosu",7,2041843,0.0165316335067634,0.242447719364744
"Imports","Punto Franco 2","Italy","Tanker-LR2",123086,9696694,46233,46234,"Gibraltar","STI ALEXIS","IMO 9696694",125598,NA,"Punto Franco","Gibraltar",18,2401607,0.0194444365954079,0.118859747426929
"Imports","Universal 1","Singapore","Tanker-Suezmax",163209,9907225,46231,46234,"Singapore","ORIENT M","IMO 9907225",166540,46239,"Universal","Singapore",8,1159542,0.00938814756065938,0.452770256174281
"Imports","Europoort 7","Netherlands","Tanker-Suezmax",170263,9315173,46233,46234,"Rotterdam","ARCTIC","IMO 9315173",173738,NA,"Europoort","Rotterdam",25,3721971,0.0301346677951251,0.0301346677951251
"Imports","Dalian 10","China","Tanker-VLCC",325546,9681209,46233,46234,"Singapore","YUAN CHUN HU","IMO 9681209",332190,NA,"Dalian","Singapore",10,1603662,0.0129839328747231,0.342699779769889
"Exports","Westridge_Alberta","Canada","Tanker-Aframax",121314,9986817,46232,46234,"ZS CN","NEW AMITY","IMO 9986817",123790,NA,"Westridge Alberta","Zs Cn",14,1601455,0.0129660640595647,0.355665843829454
"Imports","Jamnagar Terminal 2","India","Tanker-Aframax",112125,9384992,46233,46234,"Sikka","MARS 6","IMO 9384992",114413,46232,"Jamnagar Terminal","Sikka",17,3243791,0.0262631181655678,0.056397785960693
"Exports","Fujairah 5","United Arab Emirates","Tanker-LR2",123744,9419357,46233,46234,"Karachi","IASONAS","IMO 9419357",126269,NA,"Fujairah","Karachi",12,2859728,0.0231535799887795,0.0795513659494724
"Imports","Zhoushan 6","China","Tanker-Suezmax",159324,9742895,46231,46234,"Singapore","NORDIC GALAXY","IMO 9742895",162576,NA,"Zhoushan","Singapore",7,1842371,0.0149166229506819,0.27334647129804
"Imports","Dalian 4","China","Tanker-Panamax",78791,9344837,46233,46234,"PAN JIN","LIAN SHENG HU","IMO 9344837",80399,NA,"Dalian","Pan Jin",10,1603662,0.0129839328747231,0.342699779769889
"Exports","Muscat 1","Oman","Tanker-VLCC",320094,9503237,46232,46234,"Duqm","SAMAIL","IMO 9503237",326627,NA,"Muscat","Duqm",8,2453421,0.0198639448820487,0.0994153108315211
"Imports","Kawasaki 1","Japan","Tanker-VLCC",332172,9794018,46233,46234,"Sendai","MIRACLE HOPE","IMO 9794018",338951,NA,"Kawasaki","Sendai",6,1778704,0.0144011477106781,0.287747619008718
"Imports","Dongjiakou","China","Tanker-VLCC",323962,9184392,46232,46234,"HIGH SEA","MARITIME JEWEL","IMO 9184392",330573,NA,"Dongjiakou","High Sea",6,1550627,0.0125545388502897,0.368220382679744
"Imports","Huizhou 4","China","Tanker-Panamax",78790,9303699,46232,46234,"Zhoushan","JIN NIU ZUO","IMO 9303699",80398,NA,"Huizhou","Zhoushan",12,1710901,0.0138521856471604,0.329715846895166
"Exports","Gebig","Brazil","Tanker-VLCC",315723,9933626,46230,46234,"CNQDG","EAGLE VERACRUZ","IMO 9933626",322166,NA,"Gebig","Cnqdg",10,2274339,0.0184140204796053,0.155707624633144
"Imports","Punto Franco 1","Italy","Tanker-Aframax",121657,9453999,46233,46234,"Gibraltar","EAGLE HYDRA","IMO 9453999",124140,NA,"Punto Franco","Gibraltar",18,2401607,0.0194444365954079,0.118859747426929
"Exports","Mongstad 2","Norway","Tanker-Aframax",122567,9728423,46233,46234,"Gdansk","CSK VANGUARD","IMO 9728423",125068,46238,"Mongstad","Gdansk",9,1111076,0.00899574611278176,0.48025049407031
"Exports","Corpus Christi 5","United States of America","Tanker-Suezmax",161840,9829801,46232,46233,"Quebec","CAP PORT ARTHUR","IMO 9829801",165143,NA,"Corpus Christi","Quebec",15,2220931,0.0179816064877709,0.19205616277906
"Imports","Jamnagar Terminal 2","India","Tanker-LR2",120246,9368235,46232,46233,"Suez","NEVAH","IMO 9368235",122700,NA,"Jamnagar Terminal","Suez",17,3243791,0.0262631181655678,0.056397785960693
"Exports","Mongstad 1","Norway","Tanker-Aframax",122567,9728423,46233,46233,"PLGDN_NOMON","CSK VANGUARD","IMO 9728423",125068,NA,"Mongstad","Plgdn Nomon",9,1111076,0.00899574611278176,0.48025049407031
