"Reporter","Product","Partner","Tariff Year","DutyType","Reporter Name","Product Name","Partner Name","Simple Average","Nbr of Total Lines","Weighted Average"
"156","270900","178",2023,"AHS","China","270900 --  Petroleum oils and oils obtained from b","Congo, Rep.",0,1,0
"156","270900","178",2023,"BND","China","270900 --  Petroleum oils and oils obtained from b","Congo, Rep.",,,
"156","270900","178",2023,"MFN","China","270900 --  Petroleum oils and oils obtained from b","Congo, Rep.",0,1,0
"156","270900","218",2023,"AHS","China","270900 --  Petroleum oils and oils obtained from b","Ecuador",0,1,0
"156","270900","218",2023,"BND","China","270900 --  Petroleum oils and oils obtained from b","Ecuador",,,
"156","270900","218",2023,"MFN","China","270900 --  Petroleum oils and oils obtained from b","Ecuador",0,1,0
"156","270900","266",2023,"AHS","China","270900 --  Petroleum oils and oils obtained from b","Gabon",0,1,0
"156","270900","266",2023,"BND","China","270900 --  Petroleum oils and oils obtained from b","Gabon",,,
"156","270900","266",2023,"MFN","China","270900 --  Petroleum oils and oils obtained from b","Gabon",0,1,0
"156","270900","288",2023,"AHS","China","270900 --  Petroleum oils and oils obtained from b","Ghana",0,1,0
"156","270900","288",2023,"BND","China","270900 --  Petroleum oils and oils obtained from b","Ghana",,,
"156","270900","288",2023,"MFN","China","270900 --  Petroleum oils and oils obtained from b","Ghana",0,1,0
"156","270900","328",2023,"AHS","China","270900 --  Petroleum oils and oils obtained from b","Guyana",0,1,0
"156","270900","328",2023,"BND","China","270900 --  Petroleum oils and oils obtained from b","Guyana",,,
"156","270900","328",2023,"MFN","China","270900 --  Petroleum oils and oils obtained from b","Guyana",0,1,0
"156","270900","360",2023,"AHS","China","270900 --  Petroleum oils and oils obtained from b","Indonesia",0,1,0
"156","270900","360",2023,"BND","China","270900 --  Petroleum oils and oils obtained from b","Indonesia",,,
"156","270900","360",2023,"MFN","China","270900 --  Petroleum oils and oils obtained from b","Indonesia",0,1,0
"156","270900","368",2023,"AHS","China","270900 --  Petroleum oils and oils obtained from b","Iraq",0,1,0
"156","270900","368",2023,"BND","China","270900 --  Petroleum oils and oils obtained from b","Iraq",,,
"156","270900","368",2023,"MFN","China","270900 --  Petroleum oils and oils obtained from b","Iraq",0,1,0
"156","270900","414",2023,"AHS","China","270900 --  Petroleum oils and oils obtained from b","Kuwait",0,1,0
"156","270900","414",2023,"BND","China","270900 --  Petroleum oils and oils obtained from b","Kuwait",,,
"156","270900","414",2023,"MFN","China","270900 --  Petroleum oils and oils obtained from b","Kuwait",0,1,0
"156","270900","434",2023,"AHS","China","270900 --  Petroleum oils and oils obtained from b","Libya",0,1,0
"156","270900","434",2023,"BND","China","270900 --  Petroleum oils and oils obtained from b","Libya",,,
"156","270900","434",2023,"MFN","China","270900 --  Petroleum oils and oils obtained from b","Libya",0,1,0
"156","270900","484",2023,"AHS","China","270900 --  Petroleum oils and oils obtained from b","Mexico",0,1,0
"156","270900","484",2023,"BND","China","270900 --  Petroleum oils and oils obtained from b","Mexico",,,
"156","270900","484",2023,"MFN","China","270900 --  Petroleum oils and oils obtained from b","Mexico",0,1,0
"156","270900","512",2023,"AHS","China","270900 --  Petroleum oils and oils obtained from b","Oman",0,1,0
"156","270900","512",2023,"BND","China","270900 --  Petroleum oils and oils obtained from b","Oman",,,
"156","270900","512",2023,"MFN","China","270900 --  Petroleum oils and oils obtained from b","Oman",0,1,0
"156","270900","566",2023,"AHS","China","270900 --  Petroleum oils and oils obtained from b","Nigeria",0,1,0
"156","270900","566",2023,"BND","China","270900 --  Petroleum oils and oils obtained from b","Nigeria",,,
"156","270900","566",2023,"MFN","China","270900 --  Petroleum oils and oils obtained from b","Nigeria",0,1,0
"156","270900","578",2023,"AHS","China","270900 --  Petroleum oils and oils obtained from b","Norway",0,1,0
"156","270900","578",2023,"BND","China","270900 --  Petroleum oils and oils obtained from b","Norway",,,
"156","270900","578",2023,"MFN","China","270900 --  Petroleum oils and oils obtained from b","Norway",0,1,0
"156","270900","634",2023,"AHS","China","270900 --  Petroleum oils and oils obtained from b","Qatar",0,1,0
"156","270900","634",2023,"BND","China","270900 --  Petroleum oils and oils obtained from b","Qatar",,,
"156","270900","634",2023,"MFN","China","270900 --  Petroleum oils and oils obtained from b","Qatar",0,1,0
"156","270900","643",2023,"AHS","China","270900 --  Petroleum oils and oils obtained from b","Russian Federation",0,1,0
"156","270900","643",2023,"BND","China","270900 --  Petroleum oils and oils obtained from b","Russian Federation",,,
"156","270900","643",2023,"MFN","China","270900 --  Petroleum oils and oils obtained from b","Russian Federation",0,1,0
"156","270900","682",2023,"AHS","China","270900 --  Petroleum oils and oils obtained from b","Saudi Arabia",0,1,0
"156","270900","682",2023,"BND","China","270900 --  Petroleum oils and oils obtained from b","Saudi Arabia",,,
"156","270900","682",2023,"MFN","China","270900 --  Petroleum oils and oils obtained from b","Saudi Arabia",0,1,0
"156","270900","729",2023,"AHS","China","270900 --  Petroleum oils and oils obtained from b","Sudan",0,1,0
"156","270900","729",2023,"BND","China","270900 --  Petroleum oils and oils obtained from b","Sudan",,,
"156","270900","729",2023,"MFN","China","270900 --  Petroleum oils and oils obtained from b","Sudan",0,1,0
"156","270900","784",2023,"AHS","China","270900 --  Petroleum oils and oils obtained from b","United Arab Emirates",0,1,0
"156","270900","784",2023,"BND","China","270900 --  Petroleum oils and oils obtained from b","United Arab Emirates",,,
"156","270900","784",2023,"MFN","China","270900 --  Petroleum oils and oils obtained from b","United Arab Emirates",0,1,0
"156","270900","826",2023,"AHS","China","270900 --  Petroleum oils and oils obtained from b","United Kingdom",0,1,0
"156","270900","826",2023,"BND","China","270900 --  Petroleum oils and oils obtained from b","United Kingdom",,,
"156","270900","826",2023,"MFN","China","270900 --  Petroleum oils and oils obtained from b","United Kingdom",0,1,0
"156","270900","840",2023,"AHS","China","270900 --  Petroleum oils and oils obtained from b","United States",0,1,0
"156","270900","840",2023,"BND","China","270900 --  Petroleum oils and oils obtained from b","United States",,,
"156","270900","840",2023,"MFN","China","270900 --  Petroleum oils and oils obtained from b","United States",0,1,0
"158","270900","024",2023,"AHS","Taiwan, China","270900 --  Petroleum oils and oils obtained from b","Angola",0,2,0
"158","270900","024",2023,"BND","Taiwan, China","270900 --  Petroleum oils and oils obtained from b","Angola",6.25,2,6.25
"158","270900","024",2023,"MFN","Taiwan, China","270900 --  Petroleum oils and oils obtained from b","Angola",0,2,0
"158","270900","036",2023,"AHS","Taiwan, China","270900 --  Petroleum oils and oils obtained from b","Australia",0,2,0
"158","270900","036",2023,"BND","Taiwan, China","270900 --  Petroleum oils and oils obtained from b","Australia",6.25,2,6.25
"158","270900","036",2023,"MFN","Taiwan, China","270900 --  Petroleum oils and oils obtained from b","Australia",0,2,0
"158","270900","288",2023,"AHS","Taiwan, China","270900 --  Petroleum oils and oils obtained from b","Ghana",0,2,0
"158","270900","288",2023,"BND","Taiwan, China","270900 --  Petroleum oils and oils obtained from b","Ghana",6.25,2,6.25
"158","270900","288",2023,"MFN","Taiwan, China","270900 --  Petroleum oils and oils obtained from b","Ghana",0,2,0
"158","270900","368",2023,"AHS","Taiwan, China","270900 --  Petroleum oils and oils obtained from b","Iraq",0,2,0
"158","270900","368",2023,"BND","Taiwan, China","270900 --  Petroleum oils and oils obtained from b","Iraq",6.25,2,6.25
"158","270900","368",2023,"MFN","Taiwan, China","270900 --  Petroleum oils and oils obtained from b","Iraq",0,2,0
"158","270900","414",2023,"AHS","Taiwan, China","270900 --  Petroleum oils and oils obtained from b","Kuwait",0,2,0
"158","270900","414",2023,"BND","Taiwan, China","270900 --  Petroleum oils and oils obtained from b","Kuwait",6.25,2,6.25
"158","270900","414",2023,"MFN","Taiwan, China","270900 --  Petroleum oils and oils obtained from b","Kuwait",0,2,0
"158","270900","512",2023,"AHS","Taiwan, China","270900 --  Petroleum oils and oils obtained from b","Oman",0,2,0
"158","270900","512",2023,"BND","Taiwan, China","270900 --  Petroleum oils and oils obtained from b","Oman",6.25,2,6.25
"158","270900","512",2023,"MFN","Taiwan, China","270900 --  Petroleum oils and oils obtained from b","Oman",0,2,0
"158","270900","634",2023,"AHS","Taiwan, China","270900 --  Petroleum oils and oils obtained from b","Qatar",0,2,0
"158","270900","634",2023,"BND","Taiwan, China","270900 --  Petroleum oils and oils obtained from b","Qatar",6.25,2,6.25
"158","270900","634",2023,"MFN","Taiwan, China","270900 --  Petroleum oils and oils obtained from b","Qatar",0,2,0
"158","270900","682",2023,"AHS","Taiwan, China","270900 --  Petroleum oils and oils obtained from b","Saudi Arabia",0,2,0
"158","270900","682",2023,"BND","Taiwan, China","270900 --  Petroleum oils and oils obtained from b","Saudi Arabia",6.25,2,6.25
"158","270900","682",2023,"MFN","Taiwan, China","270900 --  Petroleum oils and oils obtained from b","Saudi Arabia",0,2,0
"158","270900","784",2023,"AHS","Taiwan, China","270900 --  Petroleum oils and oils obtained from b","United Arab Emirates",0,2,0
"158","270900","784",2023,"BND","Taiwan, China","270900 --  Petroleum oils and oils obtained from b","United Arab Emirates",6.25,2,6.25
"158","270900","784",2023,"MFN","Taiwan, China","270900 --  Petroleum oils and oils obtained from b","United Arab Emirates",0,2,0
"158","270900","840",2023,"AHS","Taiwan, China","270900 --  Petroleum oils and oils obtained from b","United States",0,2,0
"158","270900","840",2023,"BND","Taiwan, China","270900 --  Petroleum oils and oils obtained from b","United States",6.25,2,6.25
"158","270900","840",2023,"MFN","Taiwan, China","270900 --  Petroleum oils and oils obtained from b","United States",0,2,0
"208","270900","012",2023,"AHS","Denmark","270900 --  Petroleum oils and oils obtained from b","Algeria",0,2,0
"208","270900","012",2023,"BND","Denmark","270900 --  Petroleum oils and oils obtained from b","Algeria",,,
"208","270900","012",2023,"MFN","Denmark","270900 --  Petroleum oils and oils obtained from b","Algeria",0,2,0
"208","270900","566",2023,"AHS","Denmark","270900 --  Petroleum oils and oils obtained from b","Nigeria",0,2,0
"208","270900","566",2023,"BND","Denmark","270900 --  Petroleum oils and oils obtained from b","Nigeria",,,
"208","270900","566",2023,"MFN","Denmark","270900 --  Petroleum oils and oils obtained from b","Nigeria",0,2,0
"208","270900","578",2023,"AHS","Denmark","270900 --  Petroleum oils and oils obtained from b","Norway",0,2,0
"208","270900","578",2023,"BND","Denmark","270900 --  Petroleum oils and oils obtained from b","Norway",,,
"208","270900","578",2023,"MFN","Denmark","270900 --  Petroleum oils and oils obtained from b","Norway",0,2,0
"208","270900","826",2023,"AHS","Denmark","270900 --  Petroleum oils and oils obtained from b","United Kingdom",0,2,0
"208","270900","826",2023,"BND","Denmark","270900 --  Petroleum oils and oils obtained from b","United Kingdom",,,
"208","270900","826",2023,"MFN","Denmark","270900 --  Petroleum oils and oils obtained from b","United Kingdom",0,2,0
"208","270900","840",2023,"AHS","Denmark","270900 --  Petroleum oils and oils obtained from b","United States",0,2,0
"208","270900","840",2023,"BND","Denmark","270900 --  Petroleum oils and oils obtained from b","United States",,,
"208","270900","840",2023,"MFN","Denmark","270900 --  Petroleum oils and oils obtained from b","United States",0,2,0
"246","270900","076",2023,"AHS","Finland","270900 --  Petroleum oils and oils obtained from b","Brazil",0,2,0
"246","270900","076",2023,"BND","Finland","270900 --  Petroleum oils and oils obtained from b","Brazil",,,
"246","270900","076",2023,"MFN","Finland","270900 --  Petroleum oils and oils obtained from b","Brazil",0,2,0
"246","270900","124",2023,"AHS","Finland","270900 --  Petroleum oils and oils obtained from b","Canada",0,2,0
"246","270900","124",2023,"BND","Finland","270900 --  Petroleum oils and oils obtained from b","Canada",,,
"246","270900","124",2023,"MFN","Finland","270900 --  Petroleum oils and oils obtained from b","Canada",0,2,0
"246","270900","328",2023,"AHS","Finland","270900 --  Petroleum oils and oils obtained from b","Guyana",0,2,0
"246","270900","328",2023,"BND","Finland","270900 --  Petroleum oils and oils obtained from b","Guyana",,,
"246","270900","328",2023,"MFN","Finland","270900 --  Petroleum oils and oils obtained from b","Guyana",0,2,0
"246","270900","578",2023,"AHS","Finland","270900 --  Petroleum oils and oils obtained from b","Norway",0,2,0
"246","270900","578",2023,"BND","Finland","270900 --  Petroleum oils and oils obtained from b","Norway",,,
"246","270900","578",2023,"MFN","Finland","270900 --  Petroleum oils and oils obtained from b","Norway",0,2,0
"246","270900","826",2023,"AHS","Finland","270900 --  Petroleum oils and oils obtained from b","United Kingdom",0,2,0
"246","270900","826",2023,"BND","Finland","270900 --  Petroleum oils and oils obtained from b","United Kingdom",,,
"246","270900","826",2023,"MFN","Finland","270900 --  Petroleum oils and oils obtained from b","United Kingdom",0,2,0
"246","270900","840",2023,"AHS","Finland","270900 --  Petroleum oils and oils obtained from b","United States",0,2,0
"246","270900","840",2023,"BND","Finland","270900 --  Petroleum oils and oils obtained from b","United States",,,
"246","270900","840",2023,"MFN","Finland","270900 --  Petroleum oils and oils obtained from b","United States",0,2,0
"250","270900","012",2023,"AHS","France","270900 --  Petroleum oils and oils obtained from b","Algeria",0,2,0
"250","270900","012",2023,"BND","France","270900 --  Petroleum oils and oils obtained from b","Algeria",,,
"250","270900","012",2023,"MFN","France","270900 --  Petroleum oils and oils obtained from b","Algeria",0,2,0
"250","270900","024",2023,"AHS","France","270900 --  Petroleum oils and oils obtained from b","Angola",0,2,0
"250","270900","024",2023,"BND","France","270900 --  Petroleum oils and oils obtained from b","Angola",,,
"250","270900","024",2023,"MFN","France","270900 --  Petroleum oils and oils obtained from b","Angola",0,2,0
"250","270900","076",2023,"AHS","France","270900 --  Petroleum oils and oils obtained from b","Brazil",0,2,0
"250","270900","076",2023,"BND","France","270900 --  Petroleum oils and oils obtained from b","Brazil",,,
"250","270900","076",2023,"MFN","France","270900 --  Petroleum oils and oils obtained from b","Brazil",0,2,0
"250","270900","120",2023,"AHS","France","270900 --  Petroleum oils and oils obtained from b","Cameroon",0,2,0
"250","270900","120",2023,"BND","France","270900 --  Petroleum oils and oils obtained from b","Cameroon",,,
"250","270900","120",2023,"MFN","France","270900 --  Petroleum oils and oils obtained from b","Cameroon",0,2,0
"250","270900","124",2023,"AHS","France","270900 --  Petroleum oils and oils obtained from b","Canada",0,2,0
"250","270900","124",2023,"BND","France","270900 --  Petroleum oils and oils obtained from b","Canada",,,
"250","270900","124",2023,"MFN","France","270900 --  Petroleum oils and oils obtained from b","Canada",0,2,0
"250","270900","178",2023,"AHS","France","270900 --  Petroleum oils and oils obtained from b","Congo, Rep.",0,2,0
"250","270900","178",2023,"BND","France","270900 --  Petroleum oils and oils obtained from b","Congo, Rep.",,,
"250","270900","178",2023,"MFN","France","270900 --  Petroleum oils and oils obtained from b","Congo, Rep.",0,2,0
"250","270900","218",2023,"AHS","France","270900 --  Petroleum oils and oils obtained from b","Ecuador",0,2,0
"250","270900","218",2023,"BND","France","270900 --  Petroleum oils and oils obtained from b","Ecuador",,,
"250","270900","218",2023,"MFN","France","270900 --  Petroleum oils and oils obtained from b","Ecuador",0,2,0
"250","270900","266",2023,"AHS","France","270900 --  Petroleum oils and oils obtained from b","Gabon",0,2,0
"250","270900","266",2023,"BND","France","270900 --  Petroleum oils and oils obtained from b","Gabon",,,
"250","270900","266",2023,"MFN","France","270900 --  Petroleum oils and oils obtained from b","Gabon",0,2,0
"250","270900","288",2023,"AHS","France","270900 --  Petroleum oils and oils obtained from b","Ghana",0,2,0
"250","270900","288",2023,"BND","France","270900 --  Petroleum oils and oils obtained from b","Ghana",,,
"250","270900","288",2023,"MFN","France","270900 --  Petroleum oils and oils obtained from b","Ghana",0,2,0
"250","270900","328",2023,"AHS","France","270900 --  Petroleum oils and oils obtained from b","Guyana",0,2,0
"250","270900","328",2023,"BND","France","270900 --  Petroleum oils and oils obtained from b","Guyana",,,
"250","270900","328",2023,"MFN","France","270900 --  Petroleum oils and oils obtained from b","Guyana",0,2,0
"250","270900","368",2023,"AHS","France","270900 --  Petroleum oils and oils obtained from b","Iraq",0,2,0
"250","270900","368",2023,"BND","France","270900 --  Petroleum oils and oils obtained from b","Iraq",,,
"250","270900","368",2023,"MFN","France","270900 --  Petroleum oils and oils obtained from b","Iraq",0,2,0
"250","270900","414",2023,"AHS","France","270900 --  Petroleum oils and oils obtained from b","Kuwait",0,2,0
"250","270900","414",2023,"BND","France","270900 --  Petroleum oils and oils obtained from b","Kuwait",,,
"250","270900","414",2023,"MFN","France","270900 --  Petroleum oils and oils obtained from b","Kuwait",0,2,0
"250","270900","434",2023,"AHS","France","270900 --  Petroleum oils and oils obtained from b","Libya",0,2,0
"250","270900","434",2023,"BND","France","270900 --  Petroleum oils and oils obtained from b","Libya",,,
"250","270900","434",2023,"MFN","France","270900 --  Petroleum oils and oils obtained from b","Libya",0,2,0
"250","270900","566",2023,"AHS","France","270900 --  Petroleum oils and oils obtained from b","Nigeria",0,2,0
"250","270900","566",2023,"BND","France","270900 --  Petroleum oils and oils obtained from b","Nigeria",,,
"250","270900","566",2023,"MFN","France","270900 --  Petroleum oils and oils obtained from b","Nigeria",0,2,0
"250","270900","578",2023,"AHS","France","270900 --  Petroleum oils and oils obtained from b","Norway",0,2,0
"250","270900","578",2023,"BND","France","270900 --  Petroleum oils and oils obtained from b","Norway",,,
"250","270900","578",2023,"MFN","France","270900 --  Petroleum oils and oils obtained from b","Norway",0,2,0
"250","270900","634",2023,"AHS","France","270900 --  Petroleum oils and oils obtained from b","Qatar",0,2,0
"250","270900","634",2023,"BND","France","270900 --  Petroleum oils and oils obtained from b","Qatar",,,
"250","270900","634",2023,"MFN","France","270900 --  Petroleum oils and oils obtained from b","Qatar",0,2,0
"250","270900","682",2023,"AHS","France","270900 --  Petroleum oils and oils obtained from b","Saudi Arabia",0,2,0
"250","270900","682",2023,"BND","France","270900 --  Petroleum oils and oils obtained from b","Saudi Arabia",,,
"250","270900","682",2023,"MFN","France","270900 --  Petroleum oils and oils obtained from b","Saudi Arabia",0,2,0
"250","270900","710",2023,"AHS","France","270900 --  Petroleum oils and oils obtained from b","South Africa",0,2,0
"250","270900","710",2023,"BND","France","270900 --  Petroleum oils and oils obtained from b","South Africa",,,
"250","270900","710",2023,"MFN","France","270900 --  Petroleum oils and oils obtained from b","South Africa",0,2,0
"250","270900","784",2023,"AHS","France","270900 --  Petroleum oils and oils obtained from b","United Arab Emirates",0,2,0
"250","270900","784",2023,"BND","France","270900 --  Petroleum oils and oils obtained from b","United Arab Emirates",,,
"250","270900","784",2023,"MFN","France","270900 --  Petroleum oils and oils obtained from b","United Arab Emirates",0,2,0
"250","270900","792",2023,"AHS","France","270900 --  Petroleum oils and oils obtained from b","Turkey",0,2,0
"250","270900","792",2023,"BND","France","270900 --  Petroleum oils and oils obtained from b","Turkey",,,
"250","270900","792",2023,"MFN","France","270900 --  Petroleum oils and oils obtained from b","Turkey",0,2,0
"250","270900","826",2023,"AHS","France","270900 --  Petroleum oils and oils obtained from b","United Kingdom",0,2,0
"250","270900","826",2023,"BND","France","270900 --  Petroleum oils and oils obtained from b","United Kingdom",,,
"250","270900","826",2023,"MFN","France","270900 --  Petroleum oils and oils obtained from b","United Kingdom",0,2,0
"250","270900","840",2023,"AHS","France","270900 --  Petroleum oils and oils obtained from b","United States",0,2,0
"250","270900","840",2023,"BND","France","270900 --  Petroleum oils and oils obtained from b","United States",,,
"250","270900","840",2023,"MFN","France","270900 --  Petroleum oils and oils obtained from b","United States",0,2,0
"276","270900","012",2023,"AHS","Germany","270900 --  Petroleum oils and oils obtained from b","Algeria",0,2,0
"276","270900","012",2023,"BND","Germany","270900 --  Petroleum oils and oils obtained from b","Algeria",,,
"276","270900","012",2023,"MFN","Germany","270900 --  Petroleum oils and oils obtained from b","Algeria",0,2,0
"276","270900","024",2023,"AHS","Germany","270900 --  Petroleum oils and oils obtained from b","Angola",0,2,0
"276","270900","024",2023,"BND","Germany","270900 --  Petroleum oils and oils obtained from b","Angola",,,
"276","270900","024",2023,"MFN","Germany","270900 --  Petroleum oils and oils obtained from b","Angola",0,2,0
"276","270900","076",2023,"AHS","Germany","270900 --  Petroleum oils and oils obtained from b","Brazil",0,2,0
"276","270900","076",2023,"BND","Germany","270900 --  Petroleum oils and oils obtained from b","Brazil",,,
"276","270900","076",2023,"MFN","Germany","270900 --  Petroleum oils and oils obtained from b","Brazil",0,2,0
"276","270900","120",2023,"AHS","Germany","270900 --  Petroleum oils and oils obtained from b","Cameroon",0,2,0
"276","270900","120",2023,"BND","Germany","270900 --  Petroleum oils and oils obtained from b","Cameroon",,,
"276","270900","120",2023,"MFN","Germany","270900 --  Petroleum oils and oils obtained from b","Cameroon",0,2,0
"276","270900","124",2023,"AHS","Germany","270900 --  Petroleum oils and oils obtained from b","Canada",0,2,0
"276","270900","124",2023,"BND","Germany","270900 --  Petroleum oils and oils obtained from b","Canada",,,
"276","270900","124",2023,"MFN","Germany","270900 --  Petroleum oils and oils obtained from b","Canada",0,2,0
"276","270900","178",2023,"AHS","Germany","270900 --  Petroleum oils and oils obtained from b","Congo, Rep.",0,2,0
